Timestamp	Process	TID	Area	Category	EventID	Level	Message	Correlation
07/27/2021 22:09:31.946	WINWORD (0x2AB8)	0x2E24	Microsoft Word	Identity Authentication Client	c2kgl	Monitorable	[WAMLibrary] FindAllAccountsAsync {"Message":"No ClientID to use to find accounts"}	
07/27/2021 22:09:31.946	WINWORD (0x2AB8)	0x2E24	Microsoft Word	Identity Authentication Client	cprn1	Monitorable	[WAMLibrary] EnumerateWamAccountsAndAddNewIdentities {"Message":"FindAllAccountsAsync failed","IdentityProvider":"ADAL"}	
07/27/2021 22:09:31.946	WINWORD (0x2AB8)	0x2E24	Microsoft Word	Telemetry Event	b7vzq	Medium	SendEvent {"EventName":"Office.Identity.EnumerateWamIdentitiesAad","Flags":28147523457712385,"InternalSequenceNumber":34,"Time":"2021-07-27T22:09:31.946Z","Contract":"Office.System.Activity","Activity.CV":"Zq4AmgBsKkuiO5cCh4cvoQ.4.2","Activity.Duration":147830,"Activity.Count":1,"Activity.AggMode":0,"Activity.Success":false,"Activity.Result.Code":-2147467259,"Activity.Result.Type":"HRESULT","Activity.Result.Tag":37557083}	
07/27/2021 22:09:31.961	WINWORD (0x2AB8)	0x2E24	Microsoft Word	WebServiceApi	a9ief	Monitorable	[ConfigService] GetService {"Message":"ServiceStatus failed","RequestStatus":64}	
07/27/2021 22:09:31.961	WINWORD (0x2AB8)	0x2E24	Microsoft Word	Telemetry Event	b7vzq	Medium	SendEvent {"EventName":"Office.Identity.GetBlockingService","Flags":28147523457712385,"InternalSequenceNumber":35,"Time":"2021-07-27T22:09:31.961Z","Contract":"Office.System.Activity","Activity.CV":"Zq4AmgBsKkuiO5cCh4cvoQ.4.3.1","Activity.Duration":7935,"Activity.Count":1,"Activity.AggMode":2,"Activity.Success":false,"Activity.Result.Code":-2147467259,"Activity.Result.Type":"HRESULT","Activity.Result.Tag":593892291,"Activity.AggInterval":1,"Data.ServiceMapPopulatedStatus":0,"Data.ServiceStatus":64}	
07/27/2021 22:09:31.961	WINWORD (0x2AB8)	0x2E24	Microsoft Word	WebServiceApi	ibv02	Monitorable	[ConfigService] GetConfigToken {"Message":"GetConfigToken failed to populate config service."}	
07/27/2021 22:09:31.961	WINWORD (0x2AB8)	0x2E24	Microsoft Word	WebServiceApi	a9ief	Monitorable	[ConfigService] GetService {"Message":"ServiceStatus failed","RequestStatus":64}	
07/27/2021 22:09:31.961	WINWORD (0x2AB8)	0x2E24	Microsoft Word	Telemetry Event	b7vzq	Medium	SendEvent {"EventName":"Office.Identity.GetBlockingService","Flags":28147523457712385,"InternalSequenceNumber":36,"Time":"2021-07-27T22:09:31.961Z","Contract":"Office.System.Activity","Activity.CV":"Zq4AmgBsKkuiO5cCh4cvoQ.4.3.1","Activity.Duration":3437,"Activity.Count":1,"Activity.AggMode":2,"Activity.Success":false,"Activity.Result.Code":-2147467259,"Activity.Result.Type":"HRESULT","Activity.Result.Tag":593892291,"Activity.AggInterval":1,"Data.ServiceMapPopulatedStatus":0,"Data.ServiceStatus":64}	
07/27/2021 22:09:31.961	WINWORD (0x2AB8)	0x2E24	Microsoft Word	WebServiceApi	ibv02	Monitorable	[ConfigService] GetConfigToken {"Message":"GetConfigToken failed to populate config service."}	
07/27/2021 22:09:31.961	WINWORD (0x2AB8)	0x2E24	Microsoft Word	Identity Authentication Client	c2kgl	Monitorable	[WAMLibrary] FindAllAccountsAsync {"Message":"No ClientID to use to find accounts"}	
07/27/2021 22:09:31.961	WINWORD (0x2AB8)	0x2E24	Microsoft Word	Identity Authentication Client	cprn1	Monitorable	[WAMLibrary] EnumerateWamAccountsAndAddNewIdentities {"Message":"FindAllAccountsAsync failed","IdentityProvider":"LiveId"}	
07/27/2021 22:09:31.977	WINWORD (0x2AB8)	0x2E24	Microsoft Word	Telemetry Event	b7vzq	Medium	SendEvent {"EventName":"Office.Identity.EnumerateWamIdentitiesMsa","Flags":28147523457712385,"InternalSequenceNumber":37,"Time":"2021-07-27T22:09:31.977Z","Contract":"Office.System.Activity","Activity.CV":"Zq4AmgBsKkuiO5cCh4cvoQ.4.3","Activity.Duration":18423,"Activity.Count":1,"Activity.AggMode":0,"Activity.Success":false,"Activity.Result.Code":-2147467259,"Activity.Result.Type":"HRESULT","Activity.Result.Tag":37557083}	
07/27/2021 22:09:32.227	WINWORD (0x2AB8)	0x2E24	Microsoft Word	Identity Authentication Client	dcuth	Medium	[OSADDataStore] GetADUserName {"Message":"AD user is missing or signed out."}	
07/27/2021 22:09:32.227	WINWORD (0x2AB8)	0x2E24	Microsoft Word	Identity Authentication Client	dcutl	Medium	[IdentityManager] AddIdentity {"Message":"New AD identity is missing unique id"}	
07/27/2021 22:09:32.227	WINWORD (0x2AB8)	0x2E24	Microsoft Word	Identity Authentication Client	bsjyo	Medium	[ADFSDeviceAccount] EnsureADIdentity {"Message":"An AD identity could not be created."}	
07/27/2021 22:09:32.227	WINWORD (0x2AB8)	0x2E24	Microsoft Word	Identity Authentication Client	cle9d	Medium	[ProfileManager] HandleDeviceAccount {"Message":"Background tasks: profile count.","ProfileListSize":1}	
07/27/2021 22:09:32.227	WINWORD (0x2AB8)	0x2E24	Microsoft Word	Identity Authentication Client	cle9e	Medium	[ProfileManager] HandleDeviceAccount {"Message":"Starting active profile.","Profile":"858F31AD-EB89-405C-9A8C-220B8ABDA61C"}	
07/27/2021 22:09:32.227	WINWORD (0x2AB8)	0x2E24	Microsoft Word	Identity Authentication Client	bdnxd	Monitorable	ADFS without AD?	
07/27/2021 22:09:32.227	WINWORD (0x2AB8)	0x2E24	Microsoft Word	Identity Authentication Client	a1m65	Medium	[ADFSDeviceAccount] SetupProfile {"Message":"Ensuring AD[FS] profile","IdentityMetadata_Prefix":"","IdentityMetadata_IdentityErrorState":"Valid","IdentityMetadata_IdentityProviderType":"ADAL","IdentityMetadata_IsPersisted":true,"IdentityMetadata_IsSignedOut":false,"IdentityMetadata_UniqueId":"858F31AD-EB89-405C-9A8C-220B8ABDA61C","IdentityMetadata_LibraryType":"WAM"}	
07/27/2021 22:09:32.227	WINWORD (0x2AB8)	0x2E24	Microsoft Word	Identity Authentication Client	b14bh	Medium	[ProfileManager] OnIdentitySignIn {"Message":"Identity SignIn, currently active for type.","IdentityMetadata_Prefix":"","IdentityMetadata_IdentityErrorState":"Valid","IdentityMetadata_IdentityProviderType":"ADAL","IdentityMetadata_IsPersisted":true,"IdentityMetadata_IsSignedOut":false,"IdentityMetadata_UniqueId":"858F31AD-EB89-405C-9A8C-220B8ABDA61C","IdentityMetadata_LibraryType":"WAM","SignInType":"Implicit","Profile":"858F31AD-EB89-405C-9A8C-220B8ABDA61C"}	
07/27/2021 22:09:32.227	WINWORD (0x2AB8)	0x2E24	Microsoft Word	Identity Authentication Client	a2oud	Medium	[OfficeProfile] OnIdentitySignIn {"Message":"Profile sign in","Profile":"858F31AD-EB89-405C-9A8C-220B8ABDA61C","SignInType":"Implicit"}	
07/27/2021 22:09:32.227	WINWORD (0x2AB8)	0x2E24	Microsoft Word	Identity Authentication Client	cle9h	Medium	[ProfileManager] HandleDeviceAccount {"Message":"Ending active profile.","Profile":"858F31AD-EB89-405C-9A8C-220B8ABDA61C"}	
07/27/2021 22:09:32.227	WINWORD (0x2AB8)	0x2E24	Microsoft Word	Telemetry Event	b7vzq	Medium	SendEvent {"EventName":"Office.Identity.DoBackgroundTasks","Flags":28147523457712385,"InternalSequenceNumber":38,"Time":"2021-07-27T22:09:32.227Z","Contract":"Office.System.Activity","Activity.CV":"Zq4AmgBsKkuiO5cCh4cvoQ.4","Activity.Duration":423325,"Activity.Count":1,"Activity.AggMode":0,"Activity.Success":true}	
07/27/2021 22:09:32.227	WINWORD (0x2AB8)	0x2E24	Microsoft Word	Identity Authentication Client	a0ka3	Medium	[IdentityManager] OnBackgroundTasksCompleted {"Message":"Completed Auth liblet background tasks."}	
07/27/2021 22:09:32.227	WINWORD (0x2AB8)	0x2A38	Microsoft Word	WebServiceApi	a9wuj	Monitorable	[ServiceApi] ServiceStatus {"Message":"GetCost returned ncLow - IgnoreUnrestrictedMetered specified - power cost check unnecessary"}	
07/27/2021 22:09:32.227	WINWORD (0x2AB8)	0x2A38	Microsoft Word	WebServiceApi	a9wui	Monitorable	[ServiceApi] ServiceStatus {"Message":"GetCost returned ncLow - checking the network power cost"}	
07/27/2021 22:09:32.227	WINWORD (0x2AB8)	0x2A38	Microsoft Word	WebServiceApi	a9wui	Monitorable	[ServiceApi] ServiceStatus {"Message":"GetCost returned ncLow - checking the network power cost"}	
07/27/2021 22:09:32.227	WINWORD (0x2AB8)	0x2A38	Microsoft Word	WebServiceApi	a9wui	Monitorable	[ServiceApi] ServiceStatus {"Message":"GetCost returned ncLow - checking the network power cost"}	
07/27/2021 22:09:32.227	WINWORD (0x2AB8)	0x2A38	Microsoft Word	WebServiceApi	a9wui	Monitorable	[ServiceApi] ServiceStatus {"Message":"GetCost returned ncLow - checking the network power cost"}	
